id  title authors
89  North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions  Canada
90  The Son of Tarzan Burroughs, Edgar Rice
91  Tom Sawyer Abroad Twain, Mark
92  Tarzan and the Jewels of Opar Burroughs, Edgar Rice
93  Tom Sawyer, Detective Twain, Mark
94  Alexander's Bridge  Cather, Willa
95  The Prisoner of Zenda Hope, Anthony
96  The Monster Men Burroughs, Edgar Rice
97  Flatland: A Romance of Many Dimensions  Abbott, Edwin Abbott
98  A Tale of Two Cities  Dickens, Charles
99  Collected Articles of Frederick Douglass  Douglass, Frederick
100 The Complete Works of William Shakespeare Shakespeare, William
101 The Hacker Crackdown: Law and Disorder on the Electronic Frontier Sterling, Bruce
102 The Tragedy of Pudd'nhead Wilson  Twain, Mark
103 Around the World in Eighty Days Verne, Jules
104 Inaugural Address of Franklin Delano Roosevelt. Given in Washington, D.C. March 4th, 1933 Roosevelt, Franklin D. (Franklin Delano)
105 Persuasion  Austen, Jane
106 Jungle Tales of Tarzan  Burroughs, Edgar Rice
107 Far from the Madding Crowd  Hardy, Thomas
108 The Return of Sherlock Holmes Doyle, Arthur Conan
109 Renascence, and Other Poems Millay, Edna St. Vincent
110 Tess of the d'Urbervilles: A Pure Woman Hardy, Thomas
111 Freckles  Stratton-Porter, Gene
112 Violists  McGowan, Richard
113 The Secret Garden Burnett, Frances Hodgson
114 The Tenniel Illustrations for Carroll's Alice in Wonderland Tenniel, John
115 United States Census Figures Back to 1630 United States. Bureau of the Census
116 Motion Pictures of the Apollo 11 Lunar Landing  United States
117 Symphony No. 5 in C minor Opus 67 Beethoven, Ludwig van
118 Big Dummy's Guide to the Internet Electronic Frontier Foundation
119 A Tramp Abroad  Twain, Mark
120 Treasure Island Stevenson, Robert Louis
121 Northanger Abbey  Austen, Jane
122 The Return of the Native  Hardy, Thomas
123 At the Earth's Core Burroughs, Edgar Rice
124 Deuterocanonical Books of the Bible. Apocrypha  Anonymous
125 A Girl of the Limberlost  Stratton-Porter, Gene
126 The Poison Belt Doyle, Arthur Conan
127 "The Number ""e"""  Bonnell, Jerry T.
128 The Arabian Nights Entertainments Lang, Andrew
129 The Square Root of 2  Bonnell, Jerry T.
130 Orthodoxy Chesterton, G. K. (Gilbert Keith)
131 The Pilgrim's Progress from this world to that which is to come. Delivered under the similitude of a dream, by John Bunyan  Bunyan, John
132 The Art of War  Sunzi, active 6th century B.C.
133 The Damnation of Theron Ware  Frederic, Harold
134 Maria; Or, The Wrongs of Woman  Wollstonecraft, Mary
135 Les Misérables  Hugo, Victor
136 A Child's Garden of Verses  Stevenson, Robert Louis
137 Sara Crewe; Or, What Happened at Miss Minchin's Boarding School Burnett, Frances Hodgson
138 George Sand: Some Aspects of Her Life and Writings  Doumic, René
139 The Lost World  Doyle, Arthur Conan
140 The Jungle  Sinclair, Upton
141 Mansfield Park  Austen, Jane
142 The $30,000 Bequest, and Other Stories  Twain, Mark
143 The Mayor of Casterbridge Hardy, Thomas
144 The Voyage Out  Woolf, Virginia
145 Middlemarch Eliot, George
146 A Little Princess. Being the whole story of Sara Crewe now told for the first time  Burnett, Frances Hodgson
147 Common Sense  Paine, Thomas
148 The Autobiography of Benjamin Franklin  Franklin, Benjamin
149 The Lost Continent  Burroughs, Edgar Rice
150 The Republic  Plato
151 The Rime of the Ancient Mariner Coleridge, Samuel Taylor
152 Wild Justice  Sprague, Ruth M.
153 Jude the Obscure  Hardy, Thomas
154 The Rise of Silas Lapham  Howells, William Dean
155 The Moonstone Collins, Wilkie
156 Symphony No. 5 in C minor, Opus 67  Beethoven, Ludwig van
157 Daddy-Long-Legs Webster, Jean
158 Emma  Austen, Jane
159 The Island of Doctor Moreau Wells, H. G. (Herbert George)
160 The Awakening, and Selected Short Stories Chopin, Kate
161 Sense and Sensibility Austen, Jane
162 Take Me for a Ride: Coming of Age in a Destructive Cult Laxer, Mark E.
163 Flower Fables Alcott, Louisa May
164 Twenty Thousand Leagues under the Sea Verne, Jules
165 McTeague: A Story of San Francisco  Norris, Frank
166 Summer  Wharton, Edith
167 American Hand Book of the Daguerreotype Humphrey, S. D. (Samuel Dwight)
168 The History and Practice of the Art of Photography  Snelling, Henry Hunt
169 The Well at the World's End: A Tale Morris, William
170 The Haunted Hotel: A Mystery of Modern Venice Collins, Wilkie
171 Charlotte Temple  Rowson, Mrs.
172 The Haunted Bookshop  Morley, Christopher
173 The Insidious Dr. Fu Manchu Rohmer, Sax
174 The Picture of Dorian Gray  Wilde, Oscar
175 The Phantom of the Opera  Leroux, Gaston
176 Roderick Hudson James, Henry
177 The American  James, Henry
178 Confidence  James, Henry
179 The Europeans James, Henry
180 The 1994 CIA World Factbook United States. Central Intelligence Agency
181 The Project Gutenberg RST Manual  Perathoner, Marcello
200 The Project Gutenberg Encyclopedia. Volume 1 of 28  Project Gutenberg
201 Flatland: A Romance of Many Dimensions (Illustrated)  Abbott, Edwin Abbott
202 My Bondage and My Freedom Douglass, Frederick
203 Uncle Tom's Cabin Stowe, Harriet Beecher
204 The Innocence of Father Brown Chesterton, G. K. (Gilbert Keith)
205 Walden, and On The Duty Of Civil Disobedience Thoreau, Henry David
206 The Martin Luther King, Jr. Day, 1995, Memorial Issue Various
207 The Spell of the Yukon and Other Verses Service, Robert W. (Robert William)
208 Daisy Miller: A Study James, Henry
209 The Turn of the Screw James, Henry
210 An International Episode  James, Henry
211 The Aspern Papers James, Henry
212 A List of Factorial Math Constants  Unknown
213 The Man from Snowy River  Paterson, A. B. (Andrew Barton)
214 In the Days When the World Was Wide, and Other Verses Lawson, Henry
215 The Call of the Wild  London, Jack
216 The Tao Teh King, or the Tao and its Characteristics  Laozi
217 Sons and Lovers Lawrence, D. H. (David Herbert)
219 Heart of Darkness Conrad, Joseph
220 The Secret Sharer Conrad, Joseph
221 The Return of Sherlock Holmes Doyle, Arthur Conan
222 The Moon and Sixpence Maugham, W. Somerset (William Somerset)
223 The Wisdom of Father Brown  Chesterton, G. K. (Gilbert Keith)
224 A Pair of Blue Eyes Hardy, Thomas
225 At the Back of the North Wind MacDonald, George
228 The Aeneid  Virgil
230 The Bucolics and Eclogues Virgil
232 The Georgics  Virgil
233 Sister Carrie: A Novel  Dreiser, Theodore
234 Child Christopher and Goldilind the Fair  Morris, William
235 William Gibson Interviewed  Salza, Giuseppe
236 The Jungle Book Kipling, Rudyard
238 Dear Enemy  Webster, Jean
239 Radar Map of the United States  United States
240 Stories from the Old Attic  Harris, Robert A. (Robert Alan)
241 Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter  Brown, William Wells
242 My Antonia  Cather, Willa
243 The Forged Coupon, and Other Stories  Tolstoy, Leo, graf
244 A Study in Scarlet  Doyle, Arthur Conan
245 Life on the Mississippi Twain, Mark
246 The Rubaiyat of Omar Khayyam  Omar Khayyam
247 Webster's Unabridged Dictionary (1st 100 Pages) Webster, Noah
248 Webster's Unabridged Dictionary (2nd 100 Pages) Webster, Noah
249 French Cave Paintings 
250 A Brief History of the Internet. The Bright Side: The Dark Side Hart, Michael
251 1995 United States Congressional Address Book United States
252 Copyright Law of the United States of America. Contained in Title 17 of the United States Code  United States
253 The Universal Copyright Convention (1988) Coalition for Networked Information
254 The Second Story of Meno. A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational Unknown
255 QREAD, Etext Reader for Windows Scavezze, Dan
256 Motion Picture of Rotating Earth  United States
257 Troilus and Criseyde  Chaucer, Geoffrey
258 Poems by Adam Lindsay Gordon  Gordon, Adam Lindsay
259 Ballads of a Cheechako  Service, Robert W. (Robert William)
260 An Introduction to the Study of Robert Browning's Poetry  Corson, Hiram
261 A Dome of Many-Coloured Glass Lowell, Amy
262 The Collected Poems of Rupert Brooke  Brooke, Rupert
263 Trees, and Other Poems  Kilmer, Joyce
264 Main Street, and Other Poems  Kilmer, Joyce
265 The Life and Death of Cormac the Skald  
266 Confessio Amantis; Or, Tales of the Seven Deadly Sins Gower, John
267 The Touchstone  Wharton, Edith
268 The Octopus : A Story of California Norris, Frank
269 Beasts and Super-Beasts Saki
270 Dream Days  Grahame, Kenneth
271 Black Beauty  Sewell, Anna
272 An Open Letter on Translating Luther, Martin
273 The Smalcald Articles Luther, Martin
274 Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences  Luther, Martin
275 The Augsburg Confession. The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530  Melanchthon, Philipp
276 Franz Haydn's 104th Symphony [1794-5]. MIDI file  Haydn, Joseph
277 Trinity Site  National Atomic Museum (U.S.)
278 Trinity Site: 1945-1995.. A National Historic Landmark, White Sands Missile Range, New Mexico White Sands Missile Range (N.M.). Public Affairs Office
279 Photos and Maps of Trinity (Atomic Test) Site 
280 Records of a Family of Engineers  Stevenson, Robert Louis
281 Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu  Stevenson, Robert Louis
282 Eothen; Or, Traces of Travel Brought Home from the East Kinglake, Alexander William
283 The Reef  Wharton, Edith
284 The House of Mirth  Wharton, Edith
285 The Lost Continent  Hyne, Charles John Cutcliffe Wright
286 Laddie: A True Blue Story Stratton-Porter, Gene
287 Remember the Alamo  Barr, Amelia E.
288 The Certain Hour (Dizain des Poëtes)  Cabell, James Branch
289 The Wind in the Willows Grahame, Kenneth
290 The Stark Munro Letters. Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884 Doyle, Arthur Conan
291 The Golden Age  Grahame, Kenneth
292 Beauty and the Beast, and Tales of Home Taylor, Bayard
293 Paul Prescott's Charge  Alger, Horatio, Jr.
294 The Captain of the Polestar, and Other Tales  Doyle, Arthur Conan
295 The Early Short Fiction of Edith Wharton — Part 1 Wharton, Edith
296 The Cash Boy  Alger, Horatio, Jr.
297 The Flirt Tarkington, Booth
298 The Market-Place  Frederic, Harold
299 Tales from Two Hemispheres  Boyesen, Hjalmar Hjorth
300 United States Declaration of Independence Jefferson, Thomas
301 The Ballad of Reading Gaol  Wilde, Oscar
302 The Fibonacci Number Series Husted, Michael
303 HomeBrew HomePages Put YOU on the World Wide Web  Anonymous
304 Rio Grande's Last Race, and Other Verses  Paterson, A. B. (Andrew Barton)
305 The Count's Millions  Gaboriau, Emile
306 The Early Short Fiction of Edith Wharton — Part 2 Wharton, Edith
307 Three Elephant Power, and Other Stories Paterson, A. B. (Andrew Barton)
308 Three Men in a Boat Jerome, Jerome K. (Jerome Klapka)
309 Rhymes of a Rolling Stone Service, Robert W. (Robert William)
310 Before Adam London, Jack
311 Bunner Sisters  Wharton, Edith
312 Young Adventure: A Book of Poems  Benét, Stephen Vincent
313 Children of the Night Robinson, Edwin Arlington
314 Guide to Life and Literature of the Southwest, with a Few Observations  Dobie, J. Frank (James Frank)
315 Rhymes of a Red Cross Man Service, Robert W. (Robert William)
316 The Golden Road Montgomery, L. M. (Lucy Maud)
317 The Culprit Fay, and Other Poems  Drake, Joseph Rodman
318 John Barleycorn London, Jack
319 The Ways of Men Gregory, Eliot
321 Moran of the Lady Letty Norris, Frank
322 St. Ives: Being the Adventures of a French Prisoner in England  Stevenson, Robert Louis
323 Verses 1889-1896  Kipling, Rudyard
324 A Knight of the Cumberland  Fox, John, Jr.
325 Phantastes: A Faerie Romance for Men and Women  MacDonald, George
326 Steep Trails. California, Utah, Nevada, Washington, Oregon, the Grand Canyon  Muir, John
327 The Princess Aline  Davis, Richard Harding
328 A Heap o' Livin'  Guest, Edgar A. (Edgar Albert)
329 Island Nights' Entertainments Stevenson, Robert Louis
330 Where There's a Will  Rinehart, Mary Roberts
331 The Mucker  Burroughs, Edgar Rice
332 The Burial of the Guns  Page, Thomas Nelson
333 Robert Louis Stevenson  Raleigh, Walter Alexander, Sir
334 Episodes in Van Bibber's Life Davis, Richard Harding
335 Frances Waldeaux: A Novel Davis, Rebecca Harding
336 Indian Heroes and Great Chieftains  Eastman, Charles Alexander
337 Indian Boyhood  Eastman, Charles Alexander
338 Old Indian Legends  Zitkala-Sa
339 Old Indian Days Eastman, Charles Alexander
340 The Soul of the Indian: An Interpretation Eastman, Charles Alexander
341 Myths and Legends of the Sioux  McLaughlin, Marie L.
342 Margaret Ogilvy Barrie, J. M. (James Matthew)
343 Fables  Stevenson, Robert Louis
344 The Merry Men, and Other Tales and Fables Stevenson, Robert Louis
345 Dracula Stoker, Bram
346 The Troll Garden, and Selected Stories  Cather, Willa
347 The Saga of Grettir the Strong: Grettir's Saga  Unknown
348 Hesiod, the Homeric Hymns, and Homerica Hesiod
349 The Harvester Stratton-Porter, Gene
350 Fanny Herself Ferber, Edna
351 Of Human Bondage  Maugham, W. Somerset (William Somerset)
352 Buttered Side Down: Stories Ferber, Edna
353 In Flanders Fields, and Other Poems McCrae, John
354 The Story of a Pioneer  Jordan, Elizabeth Garver
355 The Parasite: A Story Doyle, Arthur Conan
356 Beyond the City Doyle, Arthur Conan
357 A Dream of John Ball; and, A King's Lesson  Morris, William
358 The Scarlet Car Davis, Richard Harding
359 Good Stories for Great Holidays. Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading  Olcott, Frances Jenkins
360 What is Property? An Inquiry into the Principle of Right and of Government  Proudhon, P.-J. (Pierre-Joseph)
361 Miss Billy — Married  Porter, Eleanor H. (Eleanor Hodgman)
362 Miss Billy's Decision Porter, Eleanor H. (Eleanor Hodgman)
363 The Oakdale Affair  Burroughs, Edgar Rice
364 The Mad King  Burroughs, Edgar Rice
365 The Land of Little Rain Austin, Mary Hunter
366 Bab: A Sub-Deb  Rinehart, Mary Roberts
367 The Country of the Pointed Firs Jewett, Sarah Orne
368 Acres of Diamonds: Our Every-day Opportunities  Conwell, Russell H.
369 The Outlaw of Torn  Burroughs, Edgar Rice
370 The Fortunes and Misfortunes of the Famous Moll Flanders  Defoe, Daniel
371 "Literary Blunders: A Chapter in the ""History of Human Error"""  Wheatley, Henry B. (Henry Benjamin)
372 Prince Otto, a Romance  Stevenson, Robert Louis
373 Lay Morals, and Other Papers  Stevenson, Robert Louis
374 Fantastic Fables  Bierce, Ambrose
375 An Occurrence at Owl Creek Bridge Bierce, Ambrose
376 A Journal of the Plague Year. Written by a Citizen Who Continued All the While in London  Defoe, Daniel
377 Kansas Women in Literature  Barker, Nettie Garmer
378 The White Knight: Tirant Lo Blanc Martorell, Joanot
379 Worldly Ways & Byways Gregory, Eliot
380 Weir of Hermiston: An Unfinished Romance  Stevenson, Robert Louis
381 Memories and Portraits  Stevenson, Robert Louis
382 Edinburgh: Picturesque Notes  Stevenson, Robert Louis
383 She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy  Goldsmith, Oliver
384 The Lost Prince Burnett, Frances Hodgson
385 The Redheaded Outfield, and Other Baseball Stories  Grey, Zane
386 Virginibus Puerisque, and Other Papers  Stevenson, Robert Louis
387 Vailima Letters. Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894  Stevenson, Robert Louis
388 The Crossing  Churchill, Winston
389 The Great God Pan Machen, Arthur
390 A Lute of Jade : Selections from the Classical Poets of China Cranmer-Byng, L. (Launcelot)
391 The Song of Roland  
392 Jerusalem Delivered Tasso, Torquato
393 The Blue Lagoon: A Romance  Stacpoole, H. De Vere (Henry De Vere)
394 Cranford  Gaskell, Elizabeth Cleghorn
395 The Holy War, Made by King Shaddai Upon Diabolus, for the Regaining of the Metropolis of the World; Or, The Losing and Taking Again of the Town of Mansoul  Bunyan, John
396 The Lady, or the Tiger? Stockton, Frank Richard
397 L'Allegro, Il Penseroso, Comus, and Lycidas Milton, John
398 The First Book of Adam and Eve  Platt, Rutherford Hayes
399 Cast Upon the Breakers  Alger, Horatio, Jr.
400 Helen of Troy, and Other Poems  Teasdale, Sara
401 Blix  Norris, Frank
402 Penrod  Tarkington, Booth
403 Soldiers of Fortune Davis, Richard Harding
404 Industrial Biography: Iron Workers and Tool Makers  Smiles, Samuel
405 Adventures and Letters of Richard Harding Davis Davis, Richard Harding
406 Appreciations of Richard Harding Davis  Various
407 The Reporter Who Made Himself King  Davis, Richard Harding
408 The Souls of Black Folk Du Bois, W. E. B. (William Edward Burghardt)
409 Poems on various subjects, religious and moral  Wheatley, Phillis
410 Hell Fer Sartain and Other Stories  Fox, John, Jr.
411 The King's Jackal Davis, Richard Harding
412 John Jacob Astor  Hubbard, Elbert
413 Ballads Stevenson, Robert Louis
414 The Pageant of Summer Jefferies, Richard
415 The Bible in Spain. Or, the Journeys, Adventures, and Imprisonments of an Englishman, in an Attempt to Circulate the Scriptures in the Peninsula  Borrow, George
416 Winesburg, Ohio: A Group of Tales of Ohio Small Town Life Anderson, Sherwood
417 Dr. Martin Luther's Deutsche Geistliche Lieder. The Hymns of Martin Luther Set to Their Original Melodies, With an English Version  Luther, Martin
418 A Treatise on Good Works  Luther, Martin
419 The Magic of Oz Baum, L. Frank (Lyman Frank)
420 Dorothy and the Wizard in Oz  Baum, L. Frank (Lyman Frank)
421 Kidnapped Stevenson, Robert Louis
422 The Romany Rye  Borrow, George
423 Round the Red Lamp: Being Facts and Fancies of Medical Life Doyle, Arthur Conan
424 General William Booth Enters into Heaven, and Other Poems Lindsay, Vachel
425 Familiar Studies of Men and Books Stevenson, Robert Louis
426 Tales and Fantasies Stevenson, Robert Louis
427 The Great War Syndicate Stockton, Frank Richard
428 Frivolous Cupid Hope, Anthony
429 The Magic Egg, and Other Stories  Stockton, Frank Richard
430 The Grain of Dust: A Novel  Phillips, David Graham
431 The Fortune Hunter  Phillips, David Graham
432 The Ambassadors James, Henry
433 The Conflict  Phillips, David Graham
434 The Circular Staircase  Rinehart, Mary Roberts
435 Miracle Mongers and Their Methods. A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc. Houdini, Harry
436 The Master Key. An Electrical Fairy Tale Founded Upon the Mysteries of Electricity  Baum, L. Frank (Lyman Frank)
437 The Life of Lazarillo of Tormes: His Fortunes and Misfortunes as Told by Himself  Anonymous
438 Underwoods  Stevenson, Robert Louis
439 The Vital Message Doyle, Arthur Conan
440 Just David  Porter, Eleanor H. (Eleanor Hodgman)
441 New Poems, and Variant Readings Stevenson, Robert Louis
442 Love Songs  Teasdale, Sara
443 The Love Affairs of a Bibliomaniac  Field, Eugene
444 System of Economical Contradictions; Or, The Philosophy of Misery Proudhon, P.-J. (Pierre-Joseph)
445 The Crowd: A Study of the Popular Mind  Le Bon, Gustave
446 A Book of Remarkable Criminals  Irving, H. B. (Henry Brodribb)
447 Maggie: A Girl of the Streets Crane, Stephen
448 The Psychology of Revolution  Le Bon, Gustave
449 Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology Healy, Mary Tenney
450 Susan Lenox: Her Fall and Rise  Phillips, David Graham
451 The Shadow Line: A Confession Conrad, Joseph
452 Lavengro: The Scholar, the Gypsy, the Priest  Borrow, George
453 Emma McChesney and Co.  Ferber, Edna
454 The Breitmann Ballads Leland, Charles Godfrey
455 The University of Hard Knocks Parlette, Ralph Albert
456 The Door in the Wall, and Other Stories Wells, H. G. (Herbert George)
457 The Price She Paid  Phillips, David Graham
458 Dreams and Dust Marquis, Don
459 The White People  Burnett, Frances Hodgson
460 The Dawn of a To-morrow Burnett, Frances Hodgson
461 The Quest of the Golden Girl: A Romance Le Gallienne, Richard
462 The Errand Boy; Or, How Phil Brent Won Success  Alger, Horatio, Jr.
463 The Red Badge of Courage: An Episode of the American Civil War  Crane, Stephen
464 "In the South Seas. Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)" Stevenson, Robert Louis
465 The Mountains White, Stewart Edward
466 The Gaming Table: Its Votaries and Victims. Volume 1 (of 2) Steinmetz, Andrew
467 The Princess of Cleves  La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)
468 Manon Lescaut Prévost, abbé
469 The Duchesse of Langeais  Balzac, Honoré de
470 Heretics  Chesterton, G. K. (Gilbert Keith)
471 The Bride of Lammermoor Scott, Walter
472 The House Behind the Cedars Chesnutt, Charles W. (Charles Waddell)
473 Stories to Tell to Children Bryant, Sara Cone
474 How to Tell Stories to Children, and Some Stories to Tell Bryant, Sara Cone
475 In Darkest England, and the Way Out Booth, William
476 James Nasmyth, Engineer: An Autobiography Nasmyth, James
477 Criminal Sociology  Ferri, Enrico
478 The Cost  Phillips, David Graham
479 Little Lord Fauntleroy  Burnett, Frances Hodgson
480 """Undo"": A Novel" Hutsko, Joe
481 In the Bishop's Carriage  Michelson, Miriam
482 The Woodlanders Hardy, Thomas
483 The Conquest of Canaan  Tarkington, Booth
484 Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks Optic, Oliver
485 The Road to Oz  Baum, L. Frank (Lyman Frank)
486 Ozma of Oz. A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein Baum, L. Frank (Lyman Frank)
487 Songs of Travel, and Other Verses Stevenson, Robert Louis
488 She Stands Accused  MacClure, Victor
489 One Basket  Ferber, Edna
490 Life and Adventures of Calamity Jane  Calamity Jane
491 Rezanov Atherton, Gertrude Franklin Horn
492 Essays in the Art of Writing  Stevenson, Robert Louis
493 Falk: A Reminiscence  Conrad, Joseph
494 To-morrow Conrad, Joseph
495 Amy Foster  Conrad, Joseph
496 The Little Lame Prince  Craik, Dinah Maria Mulock
497 Tracks of a Rolling Stone Coke, Henry J. (Henry John)
498 Rebecca of Sunnybrook Farm  Wiggin, Kate Douglas Smith
499 Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold Appleton, Victor
500 The Adventures of Pinocchio Collodi, Carlo
501 The Story of Doctor Dolittle  Lofting, Hugh
502 Desert Gold Grey, Zane
503 The Blue Fairy Book Lang, Andrew
504 The Fifth String  Sousa, John Philip
505 History of the Warfare of Science with Theology in Christendom  White, Andrew Dickson
506 The Shuttle Burnett, Frances Hodgson
507 Adam Bede Eliot, George
508 Twice-Told Tales  Hawthorne, Nathaniel
509 The Purcell Papers — Volume 1 Le Fanu, Joseph Sheridan
510 The Purcell Papers — Volume 2 Le Fanu, Joseph Sheridan
511 The Purcell Papers — Volume 3 Le Fanu, Joseph Sheridan
512 Mosses from an Old Manse, and Other Stories Hawthorne, Nathaniel
513 The Snow Image  Hawthorne, Nathaniel
514 Little Women  Alcott, Louisa May
515 Margret Howth: A Story of To-day  Davis, Rebecca Harding
516 The Silverado Squatters Stevenson, Robert Louis
517 The Emerald City of Oz  Baum, L. Frank (Lyman Frank)
518 The Enchanted Island of Yew. Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People Baum, L. Frank (Lyman Frank)
